ID,title,author,date
48992,From Pekin to Calais by Land,"De Windt, Harry",YEAR
51117,Free Russia,"Dixon, William Hepworth",YEAR
61557,The Red Reign: The True Story of an Adventurous Year in Russia,"Durland, Kellogg",YEAR
60770,Royal Romances of To-day,"Durland, Kellogg",YEAR
42132,Through Scandinavia to Moscow,"Edwards, William Seymour",YEAR
51993,"The Mentor: Russian Music, Vol. 4, Num. 18, Serial No. 118, November 1, 1916","Finck, Henry T.",YEAR
57185,Napoleon's Russian Campaign of 1812,"Foord, Edward (Edward A.)",YEAR
40666,"Missing at Marshlands
Arden Blake Mystery Series #3","Garis, Cleo F.",YEAR
46510,The Story of Moscow,"Gerrare, Wirt",YEAR
5310,The Point of View,"Glyn, Elinor",YEAR
11980,A Tramp's Sketches,"Graham, Stephen",YEAR
58932,"A Vagabond in the Caucasus
With Some Notes of His Experiences Among the Russians","Graham, Stephen",YEAR
27103,The Little Russian Servant,"Gréville, Henry",YEAR
5293,Tales and Novels of J. de La Fontaine — Volume 19,"La Fontaine, Jean de",YEAR
46019,Capitals of the Northlands: Tales of Ten Cities,"Hannah, Ian C.",YEAR
18165,Russian Rambles,"Hapgood, Isabel Florence",YEAR
26090,Condemned as a Nihilist: A Story of Escape from Siberia,"Henty, G. A. (George Alfred)",YEAR
30457,Through Russian Snows: A Story of Napoleon's Retreat from Moscow,"Henty, G. A. (George Alfred)",YEAR
19714,With Frederick the Great: A Story of the Seven Years' War,"Henty, G. A. (George Alfred)",YEAR
22060,"The Young Franc Tireurs, and Their Adventures in the Franco-Prussian War","Henty, G. A. (George Alfred)",YEAR
27366,A Journey in Russia in 1858,"Heywood, Robert",YEAR
54823,"The Campaign of Sedan: The Downfall of the Second Empire, August-September 1870","Hooper, George",YEAR
48737,Turkish Harems & Circassian Homes,"Hope, Andrée",YEAR
50023,The Economics of the Russian Village,"Hourwich, Isaac A. (Isaac Aaronovich)",YEAR
31860,The Red Symbol,"Ironside, John",YEAR
12328,"Tent Life in Siberia
A New Account of an Old Undertaking; Adventures among the Koraks and Other Tribes In Kamchatka and Northern Asia","Kennan, George",YEAR
21461,"Fred Markham in Russia; Or, The Boy Travellers in the Land of the Czar","Kingston, William Henry Giles",YEAR
60086,"The Boy Travellers in The Russian Empire
Adventures of Two Youths in a Journey in European and Asiatic Russia, with Accounts of a Tour across Siberia, Voyages on the Amoor, Volga, and Other Rivers, a Visit to Central Asia, Travels among the Exiles, and a Historical Sketch of the Empire from Its Foundation to the Present Time","Knox, Thomas Wallace",YEAR
13806,"Overland through Asia; Pictures of Siberian, Chinese, and Tartar Life","Knox, Thomas Wallace",YEAR
60791,"The War with Russia; Its Origin and Cause
A Reply to the Letter of J. Bright, Esq., M.P.","Langford, John Alfred",YEAR
41091,"The Price of Power
Being Chapters from the Secret History of the Imperial Court of Russia","Le Queux, William",YEAR
38357,By Right of Sword,"Marchmont, Arthur W.",YEAR
40907,A Dash for a Throne,"Marchmont, Arthur W.",YEAR
32370,Secret Diplomatic History of The Eighteenth Century,"Marx, Karl",YEAR
59095,One Year at the Russian Court: 1904-1905,"Maud, Renée Gaudin de Villaine",YEAR
56611,The Romance of the Romanoffs,"McCabe, Joseph",YEAR
48373,"From Paris to Pekin over Siberian Snows
A Narrative of a Journey by Sledge over the Snows of European Russia and Siberia, by Caravan Through Mongolia, Across the Gobi Desert and the Great Wall, and by Mule Palanquin Through China to Pekin","Meignan, Victor",YEAR
61235,Peter and Alexis: The Romance of Peter the Great,"Merezhkovsky, Dmitry Sergeyevich",YEAR
8158,Barlasch of the Guard,"Merriman, Henry Seton",YEAR
8873,The Isle of Unrest,"Merriman, Henry Seton",YEAR
10132,The Sowers,"Merriman, Henry Seton",YEAR
45167,"The Siberian Overland Route from Peking to Petersburg,
Through the Deserts and Steppes of Mongolia, Tartary, &c.","Michie, Alexander",YEAR
26390,The Two Great Retreats of History,"Grote, George",YEAR
22523,"The History of the American Expedition Fighting the Bolsheviki
Campaigning in North Russia 1918-1919","Mead, Harry H.",YEAR
25625,"Historic Tales: The Romance of Reality. Vol. 08 (of 15), Russian","Morris, Charles",YEAR
22655,"Nelka
Mrs. Helen de Smirnoff Moukhanoff, 1878-1963, a Biographical Sketch","Moukhanoff, Michael",YEAR
55244,The Prophet's Mantle,"Bland, Hubert",YEAR
46587,The Russian Opera,"Newmarch, Rosa",YEAR
54507,Russian Memories,"Novikova, Olga Alekseevna",YEAR
54059,"Northern Lands; Or, Young America in Russia and Prussia","Optic, Oliver",YEAR
31554,"Lectures on Russian Literature: Pushkin, Gogol, Turgenef, Tolstoy","Panin, Ivan",YEAR
16930,A Short History of Russia,"Parmele, Mary Platt",YEAR
60258,"New lands within the Arctic circle
Narrative of the discoveries of the Austrian ship ""Tegetthoff"" in the years 1872-1874","Payer, Julius",YEAR
46023,The Garden of Swords,"Pemberton, Max",YEAR
35540,The Great White Army,"Pemberton, Max",YEAR
5996,Essays on Russian Novelists,"Phelps, William Lyon",YEAR
24981,Trapped in 'Black Russia': Letters June-November 1915,"Pierce, Ruth",YEAR
22004,The Genius,"Potter, Margaret Horton",YEAR
53108,Confessions of the Czarina,"Radziwill, Catherine, Princess",YEAR
16981,Old Peter's Russian Tales,"Ransome, Arthur",YEAR
49278,"The Soldier and Death
A Russian Folk Tale Told in English by Arthur Ransome","Ransome, Arthur",YEAR
27733,Through Siberia and Manchuria By Rail,"Ready, Oliver George",YEAR
7320,Afghanistan and the Anglo-Russian Dispute,"Rodenbough, Theophilus F. (Theophilus Francis)",YEAR
7973,"Napoleon's Campaign in Russia, Anno 1812; Medico-Historical","Rose, Achilles",YEAR
18643,"The First Landing on Wrangel Island
With Some Remarks on the Northern Inhabitants","Rosse, Irving C. (Irving Collins)",YEAR
45099,The Rise of the Russian Empire,Saki,YEAR
37723,For Sceptre and Crown: A Romance of the Present Time. Vol. 1 (of 2),"Samarow, Gregor",YEAR
37724,For Sceptre and Crown: A Romance of the Present Time. Vol. 2 (of 2),"Samarow, Gregor",YEAR
3488,Great Catherine (Whom Glory Still Adores),"Shaw, Bernard",YEAR
19534,"Russia, as Seen and Described by Famous Writers","Shaw, Bernard",YEAR
57750,"The Heart of Asia
A history of Russian Turkestan and the Central Asian Khanates from the earliest times","Ross, E. Denison (Edward Denison), Sir",YEAR
51594,"""The Greatest Failure in All History""
A Critical Examination of the Actual Workings of Bolshevism in Russia","Spargo, John",YEAR
37889,"Incidents of Travel in Greece, Turkey, Russia, and Poland, Vol. 1 (of 2)","Stephens, John L.",YEAR
37947,"Incidents of Travel in Greece, Turkey, Russia, and Poland, Vol. 2 (of 2)","Stephens, John L.",YEAR
45299,The Russian Ballet,"Terry, Ellen",YEAR
